date,product_id,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,day_of_week,month,supplier_lead_days,Apparel,Beauty,Electronics,Home,Sports,day_sin,day_cos,month_sin,month_cos
2022-04-30,P001,21.0,24938.69,161.0,45,0,0.0,5,4,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998
2022-05-04,P001,15.0,23861.7,146.0,45,0,0.0,2,5,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387
2022-05-09,P001,10.0,23952.02,136.0,45,0,0.0,0,5,13,0,0,1,0,0,0.0,1.0,0.49999999999999994,-0.8660254037844387
2022-05-14,P001,27.0,23801.94,109.0,45,0,0.0,5,5,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387
2022-05-17,P001,20.0,24620.44,89.0,45,0,0.0,1,5,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387
2022-05-20,P001,12.0,24466.93,77.0,45,0,0.0,4,5,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
2022-05-31,P001,17.0,24170.57,60.0,45,0,0.0,1,5,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387
2022-06-07,P001,13.0,23971.88,47.0,45,0,0.0,1,6,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0
2022-06-11,P001,23.0,24293.41,123.0,45,0,0.0,5,6,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
2022-07-04,P001,17.0,24563.21,106.0,45,0,0.0,0,7,13,0,0,1,0,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
2022-07-21,P001,22.0,23778.04,84.0,45,0,0.0,3,7,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388
2022-07-23,P001,25.0,24138.84,59.0,45,0,0.0,5,7,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388
2022-07-27,P001,10.0,23722.52,49.0,45,0,0.0,2,7,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388
2022-07-30,P001,14.0,24567.02,158.0,45,0,0.0,5,7,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388
2022-08-01,P001,16.0,24768.88,142.0,45,0,0.0,0,8,13,0,0,1,0,0,0.0,1.0,-0.8660254037844385,-0.5000000000000004
2022-08-02,P001,22.0,23652.56,120.0,45,0,0.0,1,8,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004
2022-08-08,P001,24.0,24746.47,96.0,45,0,0.0,0,8,13,0,0,1,0,0,0.0,1.0,-0.8660254037844385,-0.5000000000000004
2022-08-09,P001,21.0,24180.51,75.0,45,0,0.0,1,8,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004
2022-08-10,P001,10.0,24364.46,65.0,45,0,0.0,2,8,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004
2022-08-16,P001,21.0,24749.54,138.0,45,0,0.0,1,8,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004
2022-08-28,P001,23.0,24934.45,115.0,45,0,0.0,6,8,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004
2022-08-31,P001,20.0,24725.51,95.0,45,0,0.0,2,8,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004
2022-09-08,P001,7.0,24373.35,88.0,45,0,0.0,3,9,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
2022-09-10,P001,31.0,24634.71,57.0,45,0,0.0,5,9,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16
2022-09-21,P001,15.0,23724.24,209.0,45,0,0.0,2,9,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16
2022-09-23,P001,21.0,23597.12,188.0,45,0,0.0,4,9,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
2022-09-24,P001,26.0,24851.86,162.0,45,0,0.0,5,9,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16
2022-09-27,P001,21.0,24275.42,141.0,45,0,0.0,1,9,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2022-10-01,P001,45.0,24658.49,96.0,45,0,0.0,5,10,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001
2022-10-02,P001,41.0,30231.729999999996,55.0,45,1,13.2,6,10,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
2022-10-04,P001,42.0,24245.02,155.0,45,1,30.2,1,10,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001
2022-10-22,P001,25.0,24415.82,130.0,45,0,0.0,5,10,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001
2022-10-24,P001,26.0,23662.16,104.0,45,1,20.9,0,10,13,0,0,1,0,0,0.0,1.0,-0.8660254037844386,0.5000000000000001
2022-10-29,P001,38.0,24019.6,66.0,45,0,0.0,5,10,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001
2022-10-30,P001,38.0,23977.11,131.0,45,0,0.0,6,10,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
2022-11-03,P001,38.0,24664.22,105.0,45,0,0.0,3,11,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2022-11-05,P001,31.0,24257.96,74.0,45,0,0.0,5,11,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384
2022-11-12,P001,26.0,24409.55,48.0,45,0,0.0,5,11,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384
2022-11-15,P001,29.0,24055.81,145.0,45,0,0.0,1,11,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384
2022-11-16,P001,38.0,24501.15,107.0,45,0,0.0,2,11,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384
2022-11-20,P001,42.0,24192.85,65.0,45,0,0.0,6,11,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384
2022-12-02,P001,42.0,24045.77,146.0,45,0,0.0,4,12,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0
2022-12-07,P001,19.0,24684.86,127.0,45,0,0.0,2,12,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0
2022-12-10,P001,29.0,24575.56,98.0,45,0,0.0,5,12,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2022-12-21,P001,26.0,23851.94,72.0,45,0,0.0,2,12,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0
2022-12-22,P001,32.0,24454.45,194.0,45,0,0.0,3,12,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0
2022-12-28,P001,29.0,24956.89,165.0,45,0,0.0,2,12,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0
2022-12-30,P001,26.0,24886.09,139.0,45,0,0.0,4,12,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0
2023-01-01,P001,21.0,24669.83,118.0,45,0,0.0,6,1,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2023-01-02,P001,15.0,24292.45,103.0,45,0,0.0,0,1,13,0,0,1,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387
2023-01-16,P001,35.0,24031.36,68.0,45,1,42.2,0,1,13,0,0,1,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387
2023-01-22,P001,35.0,24123.36,58.0,45,0,0.0,6,1,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2023-01-25,P001,35.0,23788.35,165.0,45,0,0.0,2,1,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2023-01-26,P001,17.0,24272.38,148.0,45,0,0.0,3,1,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2023-01-31,P001,18.0,30231.729999999996,130.0,45,0,0.0,1,1,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2023-02-02,P001,26.0,24216.51,104.0,45,0,0.0,3,2,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2023-02-06,P001,19.0,23615.94,85.0,45,0,0.0,0,2,13,0,0,1,0,0,0.0,1.0,0.8660254037844386,0.5000000000000001
2023-02-15,P001,12.0,24331.68,73.0,45,0,0.0,2,2,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2023-02-20,P001,12.0,23967.53,53.0,45,0,0.0,0,2,13,0,0,1,0,0,0.0,1.0,0.8660254037844386,0.5000000000000001
2023-02-21,P001,10.0,24952.7,158.0,45,0,0.0,1,2,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2023-03-02,P001,18.0,24882.34,140.0,45,0,0.0,3,3,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2023-03-03,P001,9.0,23839.0,131.0,45,0,0.0,4,3,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2023-03-13,P001,9.0,24389.41,122.0,45,0,0.0,0,3,13,0,0,1,0,0,0.0,1.0,1.0,6.123233995736766e-17
2023-03-21,P001,9.0,24396.57,113.0,45,0,0.0,1,3,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2023-03-30,P001,14.0,24122.89,99.0,45,0,0.0,3,3,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2023-04-01,P001,20.0,24991.65,79.0,45,0,0.0,5,4,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998
2023-04-06,P001,11.0,24058.58,68.0,45,0,0.0,3,4,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
2023-04-07,P001,18.0,24079.38,50.0,45,0,0.0,4,4,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998
2023-04-10,P001,18.0,24194.61,191.0,45,0,0.0,0,4,13,0,0,1,0,0,0.0,1.0,0.8660254037844387,-0.4999999999999998
2023-04-15,P001,27.0,23915.81,164.0,45,0,0.0,5,4,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998
2023-04-16,P001,20.0,24707.48,144.0,45,0,0.0,6,4,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998
2023-04-17,P001,14.0,23597.75,130.0,45,0,0.0,0,4,13,0,0,1,0,0,0.0,1.0,0.8660254037844387,-0.4999999999999998
2023-04-19,P001,14.0,24052.53,116.0,45,0,0.0,2,4,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998
2023-04-22,P001,18.0,24712.11,98.0,45,0,0.0,5,4,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998
2023-05-08,P001,20.0,24698.8,78.0,45,0,0.0,0,5,13,0,0,1,0,0,0.0,1.0,0.49999999999999994,-0.8660254037844387
2023-05-12,P001,20.0,24321.22,58.0,45,0,0.0,4,5,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
2023-05-13,P001,14.0,24964.15,151.0,45,0,0.0,5,5,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387
2023-05-15,P001,14.0,24960.54,137.0,45,0,0.0,0,5,13,0,0,1,0,0,0.0,1.0,0.49999999999999994,-0.8660254037844387
2023-05-16,P001,23.0,24024.54,114.0,45,0,0.0,1,5,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387
2023-05-19,P001,10.0,24512.43,104.0,45,0,0.0,4,5,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
2023-05-30,P001,22.0,24109.09,82.0,45,0,0.0,1,5,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387
2023-06-02,P001,25.0,24327.69,57.0,45,0,0.0,4,6,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
2023-06-07,P001,20.0,24491.72,204.0,45,0,0.0,2,6,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-06-10,P001,27.0,24510.11,177.0,45,0,0.0,5,6,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
2023-06-12,P001,16.0,24503.37,161.0,45,0,0.0,0,6,13,0,0,1,0,0,0.0,1.0,1.2246467991473532e-16,-1.0
2023-06-14,P001,16.0,24001.34,145.0,45,0,0.0,2,6,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-06-21,P001,20.0,24352.14,125.0,45,0,0.0,2,6,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-06-22,P001,12.0,23859.42,113.0,45,0,0.0,3,6,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0
2023-06-26,P001,12.0,24703.42,101.0,45,0,0.0,0,6,13,0,0,1,0,0,0.0,1.0,1.2246467991473532e-16,-1.0
2023-06-28,P001,12.0,24570.6,89.0,45,0,0.0,2,6,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
2023-06-29,P001,12.0,23903.87,77.0,45,0,0.0,3,6,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0
2023-06-30,P001,14.0,24737.05,63.0,45,0,0.0,4,6,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
2023-07-03,P001,21.0,24413.82,192.0,45,0,0.0,0,7,13,0,0,1,0,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
2023-07-08,P001,27.0,24559.9,165.0,45,0,0.0,5,7,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388
2023-07-09,P001,28.0,24229.78,137.0,45,0,0.0,6,7,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
2023-07-10,P001,19.0,23619.66,118.0,45,0,0.0,0,7,13,0,0,1,0,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
2023-07-21,P001,15.0,24163.18,112.1917808219178,45,0,0.0,4,7,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388
2023-07-22,P001,25.0,24697.33,78.0,45,0,0.0,5,7,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388
2023-07-28,P001,25.0,23690.83,59.0,45,0,0.0,4,7,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388
2023-08-05,P001,17.0,23975.56,187.0,45,0,0.0,5,8,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004
2023-08-15,P001,23.0,24795.57,164.0,45,0,0.0,1,8,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004
2023-08-31,P001,23.0,23927.52,141.0,45,0,0.0,3,8,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004
2023-09-01,P001,14.0,23937.54,127.0,45,0,0.0,4,9,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
2023-09-03,P001,22.0,30231.729999999996,105.0,45,0,0.0,6,9,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16
2023-09-05,P001,13.0,24003.18,92.0,45,0,0.0,1,9,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2023-09-07,P001,25.0,24218.53,67.0,45,0,0.0,3,9,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
2023-09-10,P001,34.0,30231.729999999996,160.0,45,0,0.0,6,9,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16
2023-09-12,P001,14.0,24875.15,146.0,45,0,0.0,1,9,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2023-09-17,P001,18.0,24585.65,128.0,45,0,0.0,6,9,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16
2023-09-18,P001,11.0,24033.8,117.0,45,0,0.0,0,9,13,0,0,1,0,0,0.0,1.0,-1.0,-1.8369701987210297e-16
2023-09-22,P001,18.0,24384.56,99.0,45,0,0.0,4,9,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
2023-09-28,P001,27.0,23989.49,72.0,45,0,0.0,3,9,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
2023-10-03,P001,27.0,24686.29,210.0,45,0,0.0,1,10,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001
2023-10-13,P001,25.0,23647.98,185.0,45,0,0.0,4,10,13,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001
2023-10-18,P001,42.0,23817.79,143.0,45,1,22.7,2,10,13,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2023-11-06,P001,31.0,23574.15,112.0,45,0,0.0,0,11,13,0,0,1,0,0,0.0,1.0,-0.5000000000000004,0.8660254037844384
2023-11-09,P001,36.0,24839.41,76.0,45,0,0.0,3,11,13,0,0,1,0,0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
2023-11-21,P001,20.0,24651.39,56.0,45,0,0.0,1,11,13,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384
2023-12-10,P001,41.0,23880.26,119.0,45,0,0.0,6,12,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-16,P001,38.0,24013.86,81.0,45,0,0.0,5,12,13,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2023-12-17,P001,34.0,24768.55,47.0,45,0,0.0,6,12,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-18,P001,37.0,23709.27,138.0,45,0,0.0,0,12,13,0,0,1,0,0,0.0,1.0,-2.4492935982947064e-16,1.0
2023-12-24,P001,51.0,24037.26,87.0,45,1,39.4,6,12,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2023-12-31,P001,34.0,24327.33,53.0,45,0,0.0,6,12,13,0,0,1,0,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
2022-01-01,P002,29.0,5563.61,122.0,55,0,0.0,5,1,9,0,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
2022-01-04,P002,22.0,5738.03,100.0,55,0,0.0,1,1,9,0,0,0,0,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2022-01-10,P002,17.0,5702.51,83.0,55,0,0.0,0,1,9,0,0,0,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387
2022-01-22,P002,32.0,5520.4,258.0,55,0,0.0,5,1,9,0,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
2022-01-24,P002,15.0,5535.97,243.0,55,0,0.0,0,1,9,0,0,0,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387
2022-01-26,P002,19.0,5547.89,224.0,55,0,0.0,2,1,9,0,0,0,0,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2022-01-27,P002,23.0,5536.02,201.0,55,0,0.0,3,1,9,0,0,0,0,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2022-01-30,P002,32.0,5574.19,169.0,55,0,0.0,6,1,9,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2022-02-18,P002,20.0,5835.77,149.0,55,0,0.0,4,2,9,0,0,0,0,1,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2022-02-24,P002,22.0,5508.33,127.0,55,0,0.0,3,2,9,0,0,0,0,1,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2022-03-07,P002,27.0,5628.46,100.0,55,0,0.0,0,3,9,0,0,0,0,1,0.0,1.0,1.0,6.123233995736766e-17
2022-03-14,P002,26.0,5543.75,74.0,55,0,0.0,0,3,9,0,0,0,0,1,0.0,1.0,1.0,6.123233995736766e-17
2022-03-15,P002,23.0,5582.14,214.0,55,0,0.0,1,3,9,0,0,0,0,1,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2022-04-16,P002,18.0,5742.17,196.0,55,0,0.0,5,4,9,0,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998
2022-04-17,P002,18.0,5834.8,178.0,55,0,0.0,6,4,9,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998
2022-04-19,P002,27.0,5611.53,151.0,55,0,0.0,1,4,9,0,0,0,0,1,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998
2022-04-22,P002,24.0,5799.75,127.0,55,0,0.0,4,4,9,0,0,0,0,1,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998
2022-04-27,P002,24.0,5732.97,109.0,55,0,0.0,2,4,9,0,0,0,0,1,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998
2022-05-06,P002,27.0,5825.5,82.0,55,0,0.0,4,5,9,0,0,0,0,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
2022-05-11,P002,35.0,5621.36,232.0,55,0,0.0,2,5,9,0,0,0,0,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387
2022-05-17,P002,22.0,5546.87,210.0,55,0,0.0,1,5,9,0,0,0,0,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387
